ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
4286;9;White;Penta Tiroir GrisMetal;D;11
4286;4;Dark Gray;Penta Tiroir GrisMetal;D;11
4286;33;Black;Penta Tiroir GrisMetal;D;11
4286;8;Yellow;Penta Tiroir GrisMetal;D;11
4286;37;Red;Penta Tiroir GrisMetal;D;11
4286;14;Blue;Penta Tiroir GrisMetal;D;11
4286;4;Light Bluish Gray;Penta Tiroir GrisMetal;D;11
4286;25;Light Gray;Penta Tiroir GrisMetal;D;11
3046a;1;Light Gray;Penta Tiroir GrisMetal;D;12
3046b;3;White;Penta Tiroir GrisMetal;D;12
3046b;47;Red;Penta Tiroir GrisMetal;D;12
3046b;3;Blue;Penta Tiroir GrisMetal;D;12
3038;11;White;Penta Tiroir GrisMetal;D;13
3038;4;Black;Penta Tiroir GrisMetal;D;13
3038;14;Red;Penta Tiroir GrisMetal;D;13
3038;1;Blue;Penta Tiroir GrisMetal;D;13
3678b;1;Black;Penta Tiroir GrisMetal;D;14
3678b;10;Red;Penta Tiroir GrisMetal;D;14
3678b;8;Light Bluish Gray;Penta Tiroir GrisMetal;D;14
3684a;8;White;Penta Tiroir GrisMetal;D;14
3684a;2;Black;Penta Tiroir GrisMetal;D;14
3684a;6;Yellow;Penta Tiroir GrisMetal;D;14
3684a;1;Light Bluish Gray;Penta Tiroir GrisMetal;D;14
3684a;10;Light Gray;Penta Tiroir GrisMetal;D;14
4460a;2;Dark Gray;Penta Tiroir GrisMetal;D;15
4460a;3;Light Bluish Gray;Penta Tiroir GrisMetal;D;15
4460a;24;Light Gray;Penta Tiroir GrisMetal;D;15
4460b;6;White;Penta Tiroir GrisMetal;D;15
4460b;26;Black;Penta Tiroir GrisMetal;D;15
4460b;7;Red;Penta Tiroir GrisMetal;D;15
60481;5;Black;Penta Tiroir GrisMetal;D;16
60481;4;Red;Penta Tiroir GrisMetal;D;16
2449;2;White;Penta Tiroir GrisMetal;D;17
2449;14;Black;Penta Tiroir GrisMetal;D;17
2449;30;Light Gray;Penta Tiroir GrisMetal;D;17
3042;4;Black;Penta Tiroir GrisMetal;D;18
3042;3;Red;Penta Tiroir GrisMetal;D;18
3043;4;Black;Penta Tiroir GrisMetal;D;19
3043;15;Red;Penta Tiroir GrisMetal;D;19
3297;4;White;Penta Tiroir GrisMetal;D;2
3297;12;Black;Penta Tiroir GrisMetal;D;2
3297;88;Red;Penta Tiroir GrisMetal;D;2
3297;37;Blue;Penta Tiroir GrisMetal;D;2
3297;3;Light Gray;Penta Tiroir GrisMetal;D;2
3045;2;White;Penta Tiroir GrisMetal;D;20
3045;3;Black;Penta Tiroir GrisMetal;D;20
3045;34;Red;Penta Tiroir GrisMetal;D;20
3045;3;Light Bluish Gray;Penta Tiroir GrisMetal;D;20
3045;2;Light Gray;Penta Tiroir GrisMetal;D;20
3676;1;Black;Penta Tiroir GrisMetal;D;21
4161;5;Black;Penta Tiroir GrisMetal;D;22
3675;8;Black;Penta Tiroir GrisMetal;D;23
3675;1;Red;Penta Tiroir GrisMetal;D;23
3299;2;Black;Penta Tiroir GrisMetal;D;24
3299;10;Red;Penta Tiroir GrisMetal;D;24
2341;3;Black;Penta Tiroir GrisMetal;D;25
2341;2;Red;Penta Tiroir GrisMetal;D;25
3044a;8;Red;Penta Tiroir GrisMetal;D;26
3048a;2;Red;Penta Tiroir GrisMetal;D;26
3049a;2;Red;Penta Tiroir GrisMetal;D;26
3049b;1;White;Penta Tiroir GrisMetal;D;26
3049b;1;Black;Penta Tiroir GrisMetal;D;26
3300;2;Red;Penta Tiroir GrisMetal;D;26
3298;26;White;Penta Tiroir GrisMetal;D;27
3298;3;Dark Gray;Penta Tiroir GrisMetal;D;27
3298;22;Black;Penta Tiroir GrisMetal;D;27
3298;25;Yellow;Penta Tiroir GrisMetal;D;27
3298;92;Red;Penta Tiroir GrisMetal;D;27
3298;46;Blue;Penta Tiroir GrisMetal;D;27
3298;14;Light Gray;Penta Tiroir GrisMetal;D;27
3660;39;White;Penta Tiroir GrisMetal;D;3
3660;28;Dark Gray;Penta Tiroir GrisMetal;D;3
3660;69;Black;Penta Tiroir GrisMetal;D;3
3660;20;Yellow;Penta Tiroir GrisMetal;D;3
3660;38;Red;Penta Tiroir GrisMetal;D;3
3660;29;Blue;Penta Tiroir GrisMetal;D;3
3660;7;Light Bluish Gray;Penta Tiroir GrisMetal;D;3
3660;5;Light Gray;Penta Tiroir GrisMetal;D;3
30363;6;Dark Gray;Penta Tiroir GrisMetal;D;4
30363;7;Black;Penta Tiroir GrisMetal;D;4
30363;6;Yellow;Penta Tiroir GrisMetal;D;4
30363;4;Red;Penta Tiroir GrisMetal;D;4
30363;1;Light Bluish Gray;Penta Tiroir GrisMetal;D;4
30363;5;Light Gray;Penta Tiroir GrisMetal;D;4
3678b;15;White;Penta Tiroir GrisMetal;D;4
3665;55;White;Penta Tiroir GrisMetal;D;5
3665;2;Dark Gray;Penta Tiroir GrisMetal;D;5
3665;26;Black;Penta Tiroir GrisMetal;D;5
3665;32;Yellow;Penta Tiroir GrisMetal;D;5
3665;38;Red;Penta Tiroir GrisMetal;D;5
3665;30;Blue;Penta Tiroir GrisMetal;D;5
3665;4;Light Bluish Gray;Penta Tiroir GrisMetal;D;5
3665;14;Light Gray;Penta Tiroir GrisMetal;D;5
4287;11;White;Penta Tiroir GrisMetal;D;6
4287;26;Black;Penta Tiroir GrisMetal;D;6
4287;14;Yellow;Penta Tiroir GrisMetal;D;6
