ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
3455;9;Red;Penta Tiroir Mauve;C;7
3455;11;Light Gray;Penta Tiroir Mauve;C;7
3659;7;White;Penta Tiroir Mauve;C;7
3659;5;Dark Gray;Penta Tiroir Mauve;C;7
3659;3;Black;Penta Tiroir Mauve;C;7
3659;6;Yellow;Penta Tiroir Mauve;C;7
3659;8;Red;Penta Tiroir Mauve;C;7
3659;8;Blue;Penta Tiroir Mauve;C;7
3659;2;Light Bluish Gray;Penta Tiroir Mauve;C;7
3659;8;Light Gray;Penta Tiroir Mauve;C;7
3308;1;White;Penta Tiroir Mauve;C;8
3308;8;Black;Penta Tiroir Mauve;C;8
3308;15;Yellow;Penta Tiroir Mauve;C;8
3308;5;Red;Penta Tiroir Mauve;C;8
3308;1;Light Bluish Gray;Penta Tiroir Mauve;C;8
3308;6;Light Gray;Penta Tiroir Mauve;C;8
6108;6;Black;Penta Tiroir Mauve;C;8
6108;2;Light Gray;Penta Tiroir Mauve;C;8
4490;2;Black;Penta Tiroir Mauve;C;9
4490;1;Red;Penta Tiroir Mauve;C;9
4490;6;Light Gray;Penta Tiroir Mauve;C;9
6182;1;White;Penta Tiroir Mauve;C;9
6182;1;Black;Penta Tiroir Mauve;C;9
6182;1;Blue;Penta Tiroir Mauve;C;9
2445;3;White;Penta Tiroir Mauve;D;1
2445;4;Black;Penta Tiroir Mauve;D;1
2445;4;Blue;Penta Tiroir Mauve;D;1
2445;10;Light Bluish Gray;Penta Tiroir Mauve;D;1
2445;4;Light Gray;Penta Tiroir Mauve;D;1
2639;2;White;Penta Tiroir Mauve;D;1
3020;75;White;Penta Tiroir Mauve;D;1
3020;116;Black;Penta Tiroir Mauve;D;1
3020;81;Yellow;Penta Tiroir Mauve;D;1
3020;95;Red;Penta Tiroir Mauve;D;1
3020;76;Blue;Penta Tiroir Mauve;D;1
3020;41;Light Bluish Gray;Penta Tiroir Mauve;D;1
3020;59;Light Gray;Penta Tiroir Mauve;D;1
3021;58;White;Penta Tiroir Mauve;D;1
3021;112;Black;Penta Tiroir Mauve;D;1
3021;42;Yellow;Penta Tiroir Mauve;D;1
3021;51;Red;Penta Tiroir Mauve;D;1
3021;60;Blue;Penta Tiroir Mauve;D;1
3021;31;Light Bluish Gray;Penta Tiroir Mauve;D;1
3021;27;Light Gray;Penta Tiroir Mauve;D;1
3026;3;White;Penta Tiroir Mauve;D;1
3027;1;White;Penta Tiroir Mauve;D;1
3027;9;Black;Penta Tiroir Mauve;D;1
3027;1;Yellow;Penta Tiroir Mauve;D;1
3027;2;Red;Penta Tiroir Mauve;D;1
3027;1;Blue;Penta Tiroir Mauve;D;1
3027;1;Light Bluish Gray;Penta Tiroir Mauve;D;1
3027;3;Light Gray;Penta Tiroir Mauve;D;1
3028;2;Black;Penta Tiroir Mauve;D;1
3028;2;Red;Penta Tiroir Mauve;D;1
3028;1;Blue;Penta Tiroir Mauve;D;1
3028;1;Light Gray;Penta Tiroir Mauve;D;1
3029;3;White;Penta Tiroir Mauve;D;1
3029;2;Black;Penta Tiroir Mauve;D;1
3029;3;Yellow;Penta Tiroir Mauve;D;1
3029;5;Red;Penta Tiroir Mauve;D;1
3029;3;Blue;Penta Tiroir Mauve;D;1
3029;1;Light Bluish Gray;Penta Tiroir Mauve;D;1
3029;1;Light Gray;Penta Tiroir Mauve;D;1
