"LOTID";"DATEADDED";"CATEGORY";"COLOR";"PRICE";"QTY";"BULK";"IMAGE";"DESCRIPTION";"CONDITION";"ITEMTYPE";"ITEMID";"SALE";"STOCKROOM";"WEIGHT";"DATELASTSOLD";"CURRENCY";"CATEGORYNAME";"CATNAME1";"CATNAME2";"CATNAME3";"CATNAME4";"COLORNAME";"RGB";"COLORTYPE";"SUBCONDITION";"REMARKS";"TIERQTY1";"TIERPRICE1";"TIERQTY2";"TIERPRICE2";"TIERQTY3";"TIERPRICE3";"RESERVEDFOR";"RETAIN";"SUPERLOTID";"SUPERLOTQTY";"EXTDESCRIPTION";"ITEMTYPENAME";"ITEMIDNAME";"DIMENSIONX";"DIMENSIONY";"DIMENSIONZ";"BOX";"COLUMN";"ROW"
;;487;42;0,1801;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Medium Blue";"#82ADD8";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;5;0,1562;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Red";"#B30006";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;68;0,1987;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Dark Orange";"#B35408";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;7;0,1646;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Blue";"#0057A6";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;85;0,2605;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Dark Bluish Gray";"#595D60";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;88;0,2247;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Reddish Brown";"#89351D";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;1;0,6414;1;;"Not Available";;"U";"P";44524;;;15;;;"Duplo, Plate";"Duplo";"Plate";;;"White";"#FFFFFF";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 8";2;8;"0.5";"JoJo";"A";1
;;487;34;0,5009;1;;"Not Available";;"U";"P";44524;;;15;;;"Duplo, Plate";"Duplo";"Plate";;;"Lime";"#C4E000";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 8";2;8;"0.5";"JoJo";"A";1
;;487;36;0,3641;1;;"Not Available";;"U";"P";44524;;;15;;;"Duplo, Plate";"Duplo";"Plate";;;"Bright Green";"#10CB31";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 8";2;8;"0.5";"JoJo";"A";1
;;487;85;0,458;1;;"Not Available";;"U";"P";44524;;;15;;;"Duplo, Plate";"Duplo";"Plate";;;"Dark Bluish Gray";"#595D60";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 8";2;8;"0.5";"JoJo";"A";1
;;441;10;0,9682;1;;"Not Available";;"U";"P";6377;;;19,67;;;"Duplo, Train";"Duplo";"Train";;;"Dark Gray";"#6B5A5A";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Train Track Straight (short)";4;10;"0.5";"JoJo";"A";1
;;441;20;1,1631;1;;"Not Available";;"U";"P";6377;;;19,67;;;"Duplo, Train";"Duplo";"Train";;;"Trans-Green";"#217625";"Transparent";;;;;;;;;;;;;;"Part";"Duplo, Train Track Straight (short)";4;10;"0.5";"JoJo";"A";1
;;441;85;0,9715;1;;"Not Available";;"U";"P";6377;;;19,67;;;"Duplo, Train";"Duplo";"Train";;;"Dark Bluish Gray";"#595D60";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Train Track Straight (short)";4;10;"0.5";"JoJo";"A";1
;;441;86;1,5707;1;;"Not Available";;"U";"P";6377;;;19,67;;;"Duplo, Train";"Duplo";"Train";;;"Light Bluish Gray";"#AFB5C7";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Train Track Straight (short)";4;10;"0.5";"JoJo";"A";1
;;487;1;0,3838;1;;"Not Available";;"U";"P";98233;;;11,6;;;"Duplo, Plate";"Duplo";"Plate";;;"White";"#FFFFFF";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 6";2;6;"0.5";"JoJo";"A";1
;;487;36;0,3714;1;;"Not Available";;"U";"P";98233;;;11,6;;;"Duplo, Plate";"Duplo";"Plate";;;"Bright Green";"#10CB31";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 6";2;6;"0.5";"JoJo";"A";1
;;487;5;0,3638;1;;"Not Available";;"U";"P";98233;;;11,6;;;"Duplo, Plate";"Duplo";"Plate";;;"Red";"#B30006";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 6";2;6;"0.5";"JoJo";"A";1
