ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
3062b;2;Bright Light Blue;Casier Petit Noir;D;3
3062b;54;Black;Casier Petit Noir;D;3
3062b;3;Dark Brown;Casier Petit Noir;D;3
3062b;16;Tan;Casier Petit Noir;D;3
3062b;142;Yellow;Casier Petit Noir;D;3
3062b;9;Lime;Casier Petit Noir;D;3
3062b;48;Red;Casier Petit Noir;D;3
3062b;10;Green;Casier Petit Noir;D;3
3062b;9;Blue;Casier Petit Noir;D;3
3062b;5;Brown;Casier Petit Noir;D;3
3062b;11;Dark Bluish Gray;Casier Petit Noir;D;3
3062b;17;Light Bluish Gray;Casier Petit Noir;D;3
3062b;21;Reddish Brown;Casier Petit Noir;D;3
