ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
2362b;1;Trans-Black;Casier Grand Noir;G;3
2362b;1;Light Bluish Gray;Casier Grand Noir;G;3
30413;11;White;Casier Grand Noir;G;4
30413;4;Orange;Casier Grand Noir;G;4
30413;11;Red;Casier Grand Noir;G;4
30413;10;Blue;Casier Grand Noir;G;4
30413;2;Brown;Casier Grand Noir;G;4
30413;2;Light Gray;Casier Grand Noir;G;4
30413;3;Black;Casier Grand Noir;G;4
30413;3;Lime;Casier Grand Noir;G;4
30413;13;Dark Bluish Gray;Casier Grand Noir;G;4
30413;8;Light Bluish Gray;Casier Grand Noir;G;4
2362a;4;White;Casier Grand Noir;G;5
2362a;5;Red;Casier Grand Noir;G;5
2362a;3;Light Gray;Casier Grand Noir;G;5
2362a;12;Black;Casier Grand Noir;G;5
2362a;1;Trans-Clear;Casier Grand Noir;G;5
2362a;7;Trans-Black;Casier Grand Noir;G;5
2362a;1;Trans-Dark Blue;Casier Grand Noir;G;5
2362a;8;Trans-Light Blue;Casier Grand Noir;G;5
2362a;2;Trans-Red;Casier Grand Noir;G;5
2362a;1;Trans-Yellow;Casier Grand Noir;G;5
4079;3;White;Casier Grand Noir;H;1
4079;40;Yellow;Casier Grand Noir;H;1
4079;14;Red;Casier Grand Noir;H;1
4079;25;Green;Casier Grand Noir;H;1
4079;13;Blue;Casier Grand Noir;H;1
4079;3;Brown;Casier Grand Noir;H;1
4079;8;Light Gray;Casier Grand Noir;H;1
4079;11;Black;Casier Grand Noir;H;1
4079;2;Dark Bluish Gray;Casier Grand Noir;H;1
4079;2;Bright Pink;Casier Grand Noir;H;1
4079;3;Bright Pink;Casier Grand Noir;H;1
2432;66;White;Casier Grand Noir;H;2
2432;27;Yellow;Casier Grand Noir;H;2
2432;12;Red;Casier Grand Noir;H;2
2432;30;Blue;Casier Grand Noir;H;2
2432;6;Brown;Casier Grand Noir;H;2
2432;6;Light Gray;Casier Grand Noir;H;2
2432;58;Black;Casier Grand Noir;H;2
2432;8;Dark Bluish Gray;Casier Grand Noir;H;2
2432;11;Light Bluish Gray;Casier Grand Noir;H;2
44728;10;White;Casier Grand Noir;H;3
44728;1;Tan;Casier Grand Noir;H;3
44728;5;Yellow;Casier Grand Noir;H;3
44728;1;Orange;Casier Grand Noir;H;3
44728;9;Red;Casier Grand Noir;H;3
44728;2;Green;Casier Grand Noir;H;3
44728;2;Blue;Casier Grand Noir;H;3
44728;26;Black;Casier Grand Noir;H;3
44728;13;Dark Bluish Gray;Casier Grand Noir;H;3
44728;22;Light Bluish Gray;Casier Grand Noir;H;3
44728;1;Dark Purple;Casier Grand Noir;H;3
93274;4;Black;Casier Grand Noir;H;3
93274;4;Light Bluish Gray;Casier Grand Noir;H;3
99207;7;Red;Casier Grand Noir;H;3
99207;1;Blue;Casier Grand Noir;H;3
99207;3;Black;Casier Grand Noir;H;3
99207;17;Light Bluish Gray;Casier Grand Noir;H;3
99780;4;White;Casier Grand Noir;H;3
99780;1;Yellow;Casier Grand Noir;H;3
99780;2;Red;Casier Grand Noir;H;3
99780;7;Black;Casier Grand Noir;H;3
99780;6;Dark Bluish Gray;Casier Grand Noir;H;3
99780;1;Light Bluish Gray;Casier Grand Noir;H;3
99781;4;White;Casier Grand Noir;H;3
99781;4;Black;Casier Grand Noir;H;3
99781;13;Light Bluish Gray;Casier Grand Noir;H;3
2540;10;White;Casier Grand Noir;I;1
2540;4;Tan;Casier Grand Noir;I;1
2540;3;Yellow;Casier Grand Noir;I;1
2540;3;Orange;Casier Grand Noir;I;1
2540;13;Red;Casier Grand Noir;I;1
2540;5;Blue;Casier Grand Noir;I;1
2540;1;Brown;Casier Grand Noir;I;1
2540;17;Light Gray;Casier Grand Noir;I;1
2540;147;Black;Casier Grand Noir;I;1
2540;12;Dark Bluish Gray;Casier Grand Noir;I;1
2540;10;Light Bluish Gray;Casier Grand Noir;I;1
4623;40;White;Casier Grand Noir;I;1
4623;15;Yellow;Casier Grand Noir;I;1
4623;8;Red;Casier Grand Noir;I;1
4623;50;Blue;Casier Grand Noir;I;1
4623;4;Light Gray;Casier Grand Noir;I;1
4623;40;Black;Casier Grand Noir;I;1
4623;10;Dark Bluish Gray;Casier Grand Noir;I;1
4623;3;Light Bluish Gray;Casier Grand Noir;I;1
3937;8;White;Casier Grand Noir;I;2
3937;3;Yellow;Casier Grand Noir;I;2
3937;10;Red;Casier Grand Noir;I;2
3937;15;Blue;Casier Grand Noir;I;2
3937;20;Light Gray;Casier Grand Noir;I;2
3937;20;Black;Casier Grand Noir;I;2
3937;10;Dark Bluish Gray;Casier Grand Noir;I;2
3937;5;Light Bluish Gray;Casier Grand Noir;I;2
3938;20;White;Casier Grand Noir;I;2
3938;1;Tan;Casier Grand Noir;I;2
3938;3;Yellow;Casier Grand Noir;I;2
3938;10;Red;Casier Grand Noir;I;2
3938;15;Blue;Casier Grand Noir;I;2
3938;20;Light Gray;Casier Grand Noir;I;2
3938;20;Black;Casier Grand Noir;I;2
3938;2;Light Bluish Gray;Casier Grand Noir;I;2
6134;1;White;Casier Grand Noir;I;2
6134;13;Red;Casier Grand Noir;I;2
6134;16;Black;Casier Grand Noir;I;2
6134;6;Light Bluish Gray;Casier Grand Noir;I;2
