LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;991;115;0,2107;3;;id92338color115.jpg;;U;P;92338;;;0,33;;;Chain;Chain;;P;;Pearl Gold;#E79E1D;Pearl;;;;;;;;;;;;;;Part;Chain 5 Links;?;?;?;Malette Noire;B;2;
;;133;11;0,1588;8;;id45590color11.jpg;;U;P;45590;;;0,59;;;Technic, Connector;Technic;Connector;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Technic, Axle Connector Double - Flexible Rubber;?;?;?;Malette Noire;B;3;
;;411;9;0,8749;1;;id4352color9.jpg;;U;P;4352;;;17;;;Electric, Battery Box;Electric;Battery Box;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Electric 4.5V 3 C-Cell Battery Box Polarity Switch 2 x 4;?;?;?;Malette Noire;B;4;
;;735;7;0,7824;2;;id996bc01color7.jpg;;U;P;996bc01;;;1;;;Electric, Wire & Connector;Electric;Wire & Connector;P;;Blue;#0057A6;Solid;;;;;;;;;;;;;;Part;Electric, Connector, 1-Way Male Rounded with Cross-Cut Pin (Banana Plug);?;?;?;Malette Noire;B;4;
;;735;7;1,1903;1;;idbb0236bc01color7.jpg;;U;P;bb0236bc01;;;1,9;;;Electric, Wire & Connector;Electric;Wire & Connector;P;;Blue;#0057A6;Solid;;;;;;;;;;;;;;Part;Electric, Connector, 2-Way Male Rounded Narrow Type 2 with Cross-Cut Pins;?;?;?;Malette Noire;B;4;
;;136;1;0,368;5;;id3743color1.jpg;;U;P;3743;;;0,79;;;Technic, Gear;Technic;Gear;P;;White;#FFFFFF;Solid;;;;;;;;;;;;;;Part;Technic, Gear Rack 1 x 4;1;4;0;Malette Noire;B;5;
;;136;11;0,4111;1;;id3743color11.jpg;;U;P;3743;;;0,79;;;Technic, Gear;Technic;Gear;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Technic, Gear Rack 1 x 4;1;4;0;Malette Noire;B;5;
;;136;9;0,4013;5;;id3743color9.jpg;;U;P;3743;;;0,79;;;Technic, Gear;Technic;Gear;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Technic, Gear Rack 1 x 4;1;4;0;Malette Noire;B;5;
;;136;85;0,6246;1;;id15457color85.jpg;;U;P;15457;;;0,54;;;Technic, Gear;Technic;Gear;P;;Dark Bluish Gray;#595D60;Solid;;;;;;;;;;;;;;Part;Technic, Gear Worm Screw with 2 Bushes;1;3;0;Malette Noire;B;6;
;;136;85;0,3221;1;;id27938color85.jpg;;U;P;27938;;;0,65;;;Technic, Gear;Technic;Gear;P;;Dark Bluish Gray;#595D60;Solid;;;;;;;;;;;;;;Part;Technic, Gear Worm Screw, Short;?;?;?;Malette Noire;B;6;
;;136;9;0,4304;1;;id4716color9.jpg;;U;P;4716;;;0,6;;;Technic, Gear;Technic;Gear;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Technic, Gear Worm Screw, Long;?;?;?;Malette Noire;B;6;
;;133;86;0,4377;1;;id62520c01color86.jpg;;U;P;62520c01;;;0,54;;;Technic, Connector;Technic;Connector;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Technic, Universal Joint 3L;?;?;?;Malette Noire;B;6;
;;133;9;0,7693;2;;id9244c01color9.jpg;;U;P;9244c01;;;0,78;;;Technic, Connector;Technic;Connector;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Technic, Universal Joint 4L;?;?;?;Malette Noire;B;6;
;;36;11;1,5633;1;;id2426c01color11.jpg;;U;P;2426c01;;;5,5;;;Technic;Technic;;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Technic Rack Winder;2;5;2;Malette Noire;B;7;
;;136;86;0,3274;1;;id41667color86.jpg;;U;P;41667;;;2,06;;;Technic, Gear;Technic;Gear;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Technic, Arm 2 x 5 with 1/4 Gear 8 Tooth Double Bevel;?;?;?;Malette Noire;B;7;
