LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;105;3;0,2111;2;;id4476bcolor3.jpg;;U;P;4476b;;Y;2,22;;EUR;Support;;;P;;Yellow;FFE001;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;2.00;4.00;5.00;Penta Tiroir Mauve;A;2;
;;105;5;0,2771;4;;id4476bcolor5.jpg;;U;P;4476b;;Y;2,22;;EUR;Support;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Support 2 x 4 x 5 Stanchion Inclined, 5mm Wide Posts;2.00;4.00;5.00;Penta Tiroir Mauve;A;2;
;;4;11;0,182;7;;id4732color11.jpg;;U;P;4732;;Y;3,87;;EUR;Bracket;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Bracket 8 x 2 x 1 1/3;8.00;2.00;1.33;Penta Tiroir Mauve;A;2;
;;4;4;0,1019;1;;id4732color4.jpg;;U;P;4732;;Y;3,87;;EUR;Bracket;;;P;;Orange;FF7E14;Solid;;;;;;;;;;;;;;PART;Bracket 8 x 2 x 1 1/3;8.00;2.00;1.33;Penta Tiroir Mauve;A;2;
;;4;5;0,0792;3;;id4732color5.jpg;;U;P;4732;;Y;3,87;;EUR;Bracket;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Bracket 8 x 2 x 1 1/3;8.00;2.00;1.33;Penta Tiroir Mauve;A;2;
;;4;8;0,0998;1;;id4732color8.jpg;;U;P;4732;;Y;3,87;;EUR;Bracket;;;P;;Brown;6B3F22;Solid;;;;;;;;;;;;;;PART;Bracket 8 x 2 x 1 1/3;8.00;2.00;1.33;Penta Tiroir Mauve;A;2;
;;379;9;0,7166;1;;id6066color9.jpg;;U;P;6066;;Y;9,2;;EUR;Roof;;;P;;Light Gray;9C9C9C;Solid;;;;;;;;;;;;;;PART;Castle Turret Top 4 x 8 x 2 1/3;4.00;8.00;2.33;Penta Tiroir Mauve;A;2;
;;5;5;0,0367;50;;id3005color5.jpg;;U;P;3005;;Y;0,44;;EUR;Brick;;;P;;Red;B30006;Solid;;;;;;;;;;;;;;PART;Brick 1 x 1;1.00;1.00;1.00;Penta Tiroir Mauve;A;3;
;;5;7;0,0362;30;;id3005color7.jpg;;U;P;3005;;Y;0,44;;EUR;Brick;;;P;;Blue;0057A6;Solid;;;;;;;;;;;;;;PART;Brick 1 x 1;1.00;1.00;1.00;Penta Tiroir Mauve;A;4;
;;5;11;0,0897;50;;id3005color11.jpg;;U;P;3005;;Y;0,44;;EUR;Brick;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Brick 1 x 1;1.00;1.00;1.00;Penta Tiroir Mauve;A;5;
