LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;8;86;0,0781;5;;id3941color86.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;8;88;0,0641;13;;id3941color88.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Reddish Brown;#89351D;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;7;1;0,0341;11;;id2458color1.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;White;#FFFFFF;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
;;7;2;0,0406;1;;id2458color2.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;Tan;#EED9A4;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
;;7;3;0,0336;3;;id2458color3.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
;;7;5;0,0336;13;;id2458color5.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
;;7;7;0,0369;2;;id2458color7.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;Blue;#0057A6;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
;;7;9;0,0483;9;;id2458color9.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
;;7;10;0,0483;1;;id2458color10.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;Dark Gray;#6B5A5A;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
;;7;11;0,0545;18;;id2458color11.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
;;7;44;0,1865;2;;id2458color44.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;Light Violet;#C9CAE2;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
;;7;85;0,0329;8;;id2458color85.jpg;;U;P;2458;;;1,09;;;Brick, Modified;Brick;Modified;P;;Dark Bluish Gray;#595D60;Solid;;;;;;;;;;;;;;Part;Brick, Modified 1 x 2 with Pin;?;?;?;Casier Petit Gris;A;4;
