LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;135;11;0,3945;15;1;id32018color11.jpg;;U;P;32018;;Y;4,92;;EUR;Technic, Brick;Technic;Brick;;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 14 with Holes;1;14;1;TriTiroir VioletFoncé;A;1
;;135;3;0,5254;11;1;id32018color3.jpg;;U;P;32018;;Y;4,92;;EUR;Technic, Brick;Technic;Brick;;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 14 with Holes;1;14;1;TriTiroir VioletFoncé;A;1
;;135;85;0,4326;18;1;id32018color85.jpg;;U;P;32018;;Y;4,92;;EUR;Technic, Brick;Technic;Brick;;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 14 with Holes;1;14;1;TriTiroir VioletFoncé;A;1
;;135;86;0,445;3;1;id32018color86.jpg;;U;P;32018;;Y;4,92;;EUR;Technic, Brick;Technic;Brick;;;Light Bluish Gray;##AFB5C7;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 14 with Holes;1;14;1;TriTiroir VioletFoncé;A;1
;;135;9;0,6095;7;1;id32018color9.jpg;;U;P;32018;;Y;4,92;;EUR;Technic, Brick;Technic;Brick;;;Light Gray;##9C9C9C;Solid;;;;;;;;;;;;;;Part;Technic, Brick 1 x 14 with Holes;1;14;1;TriTiroir VioletFoncé;A;1
;;135;1;0,341;1;1;id32324color1.jpg;;U;P;32324;;Y;4,25;;EUR;Technic, Brick;Technic;Brick;;;White;##FFFFFF;Solid;;;;;;;;;;;;;;Part;Technic, Brick 4 x 4 Open Center;4;4;1;TriTiroir VioletFoncé;A;1
;;135;11;2,6566;2;1;id32324color11.jpg;;U;P;32324;;Y;4,25;;EUR;Technic, Brick;Technic;Brick;;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Brick 4 x 4 Open Center;4;4;1;TriTiroir VioletFoncé;A;1
;;135;86;0,2684;2;1;id32324color86.jpg;;U;P;32324;;Y;4,25;;EUR;Technic, Brick;Technic;Brick;;;Light Bluish Gray;##AFB5C7;Solid;;;;;;;;;;;;;;Part;Technic, Brick 4 x 4 Open Center;4;4;1;TriTiroir VioletFoncé;A;1
;;135;11;0,6515;5;1;id32531color11.jpg;;U;P;32531;;Y;5;;EUR;Technic, Brick;Technic;Brick;;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Brick 4 x 6 Open Center;4;6;1;TriTiroir VioletFoncé;A;1
;;135;9;1,3751;1;1;id32531color9.jpg;;U;P;32531;;Y;5;;EUR;Technic, Brick;Technic;Brick;;;Light Gray;##9C9C9C;Solid;;;;;;;;;;;;;;Part;Technic, Brick 4 x 6 Open Center;4;6;1;TriTiroir VioletFoncé;A;1
;;135;1;0,8281;2;1;id32532color1.jpg;;U;P;32532;;Y;8;;EUR;Technic, Brick;Technic;Brick;;;White;##FFFFFF;Solid;;;;;;;;;;;;;;Part;Technic, Brick 6 x 8 Open Center;6;8;1;TriTiroir VioletFoncé;A;1
;;135;3;0,7296;2;1;id32532color3.jpg;;U;P;32532;;Y;8;;EUR;Technic, Brick;Technic;Brick;;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Technic, Brick 6 x 8 Open Center;6;8;1;TriTiroir VioletFoncé;A;1
;;135;86;0,8376;2;1;id32532color86.jpg;;U;P;32532;;Y;8;;EUR;Technic, Brick;Technic;Brick;;;Light Bluish Gray;##AFB5C7;Solid;;;;;;;;;;;;;;Part;Technic, Brick 6 x 8 Open Center;6;8;1;TriTiroir VioletFoncé;A;1
