LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;7;5;0,0687;1;;id4747color5.jpg;;U;P;4747;;;2,9;;;Brick, Modified;Brick;Modified;P;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Brick, Modified 2 x 4 with Coupling, Male;?;?;?;Grand Casier BleueuClair;B;2;
;;7;5;0,0560;1;;id4748color5.jpg;;U;P;4748;;;2,75;;;Brick, Modified;Brick;Modified;P;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Brick, Modified 2 x 4 with Coupling, Female;?;?;?;Grand Casier BleueuClair;B;2;
;;27;5;0,1554;4;;id737color5.jpg;;U;P;737;;;1,34;;;Plate, Modified;Plate;Modified;P;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Plate, Modified 2 x 4 with Train Coupler Closed for Hook;?;?;?;Grand Casier BleueuClair;B;2;
;;27;5;0,7476;1;;id737ac01color5.jpg;;U;P;737ac01;;;4,55;;;Plate, Modified;Plate;Modified;P;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Plate, Modified 2 x 4 with Train Coupler Open for Magnet with Same Color Magnet Coupling, Train - 7mm Cylinder (737a / x547b);?;?;?;Grand Casier BleueuClair;B;2;
;;27;5;0,7917;1;;id737ac02color5.jpg;;U;P;737ac02;;;4,55;;;Plate, Modified;Plate;Modified;P;;Red;##B30006;Solid;;;;;;;;;;;;;;Part;Plate, Modified 2 x 4 with Train Coupler Open for Magnet with Blue Magnet Coupling, Train - 7mm Cylinder (737a / x547b);?;?;?;Grand Casier BleueuClair;B;2;
;;22;11;0,0447;7;;id30407color11.jpg;;U;P;30407;;;2,16;;;Hinge;Hinge;;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 8 with Angled Side Extensions, 9 Teeth and Rounded Plate Underside;?;?;?;Grand Casier BleueuClair;B;3;
;;22;12;0,1061;2;;id30407color12.jpg;;U;P;30407;;;2,16;;;Hinge;Hinge;;P;;Trans-Clear;##EEEEEE;Transparent;;;;;;;;;;;;;;Part;Hinge Plate 1 x 8 with Angled Side Extensions, 9 Teeth and Rounded Plate Underside;?;?;?;Grand Casier BleueuClair;B;3;
;;22;85;0,0836;9;;id30407color85.jpg;;U;P;30407;;;2,16;;;Hinge;Hinge;;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Hinge Plate 1 x 8 with Angled Side Extensions, 9 Teeth and Rounded Plate Underside;?;?;?;Grand Casier BleueuClair;B;3;
;;115;34;0,5203;1;;id47844color34.jpg;;U;P;47844;;;3,2;;;Windscreen;Windscreen;;P;;Lime;##C4E000;Solid;;;;;;;;;;;;;;Part;Windscreen 9 x 3 x 1 2/3 Bubble Canopy;9;3;1.67;Grand Casier BleueuClair;B;3;
;;749;11;0,0835;1;;id90607color11.jpg;;U;P;90607;;;2,6;;;Hero Factory;Hero Factory;;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Hero Factory Arm / Leg with Ball Joint on Axle and Ball Socket and 2 Pin Holes;2;7.5;1;Grand Casier BleueuClair;B;3;
