"Lot ID","Color","Category","Condition","Sub-Condition","Description","Remarks","Price","Quantity","Bulk","Sale","URL","Item No","Tier Qty 1","Tier Price 1","Tier Qty 2","Tier Price 2","Tier Qty 3","Tier Price 3","Reserved For","Stockroom","Retain","Super Lot ID","Super Lot Qty","Weight","Extended Description","Date Added","Date Last Sold","Currency"
"278027883","Yellow","Parts / Bracket","Used","","Yellow Bracket 3 x 2 - 2 x 2 Inverted &#40;Space Seat&#41; Etagere Indigo C2","","€3.31","1","1","0%","","4598","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.87","","1/5/2022","","EUR"
"278027884","White","Parts / Window","Used","","White Window 1 x 2 x 3 Train Bleue G4","","€3.28","2","1","0%","","4035","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.42","","1/5/2022","","EUR"
"278027885","Black","Parts / Tire & Tread","Used","","Black Tire 56 x 28 ZR Street Etagere Grise A2","","€3.24","5","1","0%","","41897","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","13.98","","1/5/2022","","EUR"
"278027886","Tan","Parts / Brick, Decorated","Used","","Tan Brick 1 x 2 x 5 with Hieroglyphs, Arm on Top Pattern casier bleue clair D3","","€3.18","2","1","0%","","2454px2","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.49","","1/5/2022","","EUR"
"278027887","Tan","Parts / Brick, Decorated","Used","","Tan Brick 1 x 2 x 5 with Hieroglyphs, Owl on Bottom Pattern casier bleue clair D3","","€3.18","2","1","0%","","2454px1","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.49","","1/5/2022","","EUR"
"278027888","Dark Bluish Gray","Parts / Brick, Round","Used","","Dark Bluish Gray Brick, Round Corner 4 x 8 Full Brick Double black box A1","","€3.17","1","1","0%","","47974","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","6.8","","1/5/2022","","EUR"
"278027889","Yellow","Parts / Plate","Used","","Yellow Plate 6 x 16 Etagere Aubergine A5","","€3.11","1","1","0%","","3027","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","13.27","","1/5/2022","","EUR"
"278027890","Metallic Silver","Parts / Wheel","Used","","Metallic Silver Wheel 36.8mm D. x 26mm VR with Axle Hole &#40;x Shape&#41; grand gris A2","","€3.11","3","1","0%","","22253","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","7.2","","1/5/2022","","EUR"
"278027891","Yellow","Parts / Technic, Brick","Used","","Yellow Technic, Brick 5 x 5 Right Angle (1 x 4 - 1 x 4) Etagere Indigo C1","","€3.10","3","1","0%","","32555","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.35","","1/5/2022","","EUR"
"278027892","Trans-Clear","Parts / Panel","Used","","Trans-Clear Panel 3 x 4 x 6 Curved Top black box A1","","€3.01","1","1","0%","","2571","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","5.92","","1/5/2022","","EUR"
"278027893","Red","Parts / Window","Used","","Red Window 1 x 2 x 3 Train Bleue G4","","€2.97","1","1","0%","","4035","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.42","","1/5/2022","","EUR"
"278027894","Dark Bluish Gray","Parts / Wheel","Used","","Dark Bluish Gray Wheel Spoked 2 x 2 with Pin Hole Bleue C4","","€2.92","9","1","0%","","30155","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.87","","1/5/2022","","EUR"
"278027895","Blue","Parts / Technic, Axle","Used","","Blue Technic, Axle  1L with Pin with Friction Ridges Orange 1 I3","","€2.86","40","1","0%","","43093","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.26","","1/5/2022","","EUR"
"278027896","Black","Parts / Technic, Axle","Used","","Black Technic, Axle  1L with Pin with Friction Ridges Orange 1 I3","","€2.86","1","1","0%","","43093","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.26","","1/5/2022","","EUR"
"278027897","Black","Parts / Technic, Brick","Used","","Black Technic, Brick 4 x 4 Open Center Etagere Indigo C1","","€2.83","2","1","0%","","32324","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4.25","","1/5/2022","","EUR"
"278027898","Black","Parts / Hook","Used","","Black Hook Metal 1 x 4 x 1 Malette Noir A1","","€2.78","1","1","0%","","x99","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.48","","1/5/2022","","EUR"
"278027899","Blue","Parts / Support","Used","","Blue Support 2 x 4 x 5 Stanchion Inclined, 3mm Wide Posts Bleue A1","","€2.72","1","1","0%","","4476a","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2.34","","1/5/2022","","EUR"
"278027900","Blue","Parts / Support","Used","","Blue Support 2 x 4 x 5 Stanchion Inclined, 3mm Wide Posts indigo A2","","€2.72","1","1","0%","","4476a","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2.34","","1/5/2022","","EUR"
"278027901","Light Bluish Gray","Parts / Wheel","Used","","Light Bluish Gray Train Wheel RC, Holder Petit Gris A1","","€2.70","15","1","0%","","2878","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","5.55","","1/5/2022","","EUR"
"278027902","White","Parts / Electric, Battery Box","Used","","White Electric 9V Battery Box Small with &#39;POLICE&#39; Pattern on Both Sides &#40;Stickers&#41; - Set 6450 Malette Noir A1","","€2.68","1","1","0%","","4760c01pb07","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","18","","1/5/2022","","EUR"
"278027903","White","Parts / Electric, Light & Sound","Used","","White Electric, Sound Siren 9V 2 x 2 x 1 1/3 with Two Space Noises Malette Noir A1","","€2.65","1","1","0%","","4774c02","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2.42","","1/5/2022","","EUR"
